Region,AgeGroup,Share
Melbourne - Inner,0-14,9.6
Melbourne - Inner,15-64,79.0
Melbourne - Inner,65+,11.2

Melbourne - West,0-14,21.3
Melbourne - West,15-64,67.4
Melbourne - West,65+,11.1

Geelong,0-14,18.0
Geelong,15-64,62.3
Geelong,65+,19.9

Mornington Peninsula,0-14,16.9
Mornington Peninsula,15-64,60.2
Mornington Peninsula,65+,23.0

Ballarat,0-14,17.3
Ballarat,15-64,61.0
Ballarat,65+,21.4

Bendigo,0-14,17.5
Bendigo,15-64,60.1
Bendigo,65+,22.5

Latrobe - Gippsland,0-14,16.7
Latrobe - Gippsland,15-64,57.7
Latrobe - Gippsland,65+,25.8