Region,Component,Value
Melbourne - Inner,Natural increase,1621
Melbourne - Inner,Net internal migration,-5978
Melbourne - Inner,Net overseas migration,9132
Melbourne - West,Natural increase,6402
Melbourne - West,Net internal migration,4685
Melbourne - West,Net overseas migration,12540
Geelong,Natural increase,1874
Geelong,Net internal migration,3662
Geelong,Net overseas migration,2105
Melbourne - South East,Natural increase,5120
Melbourne - South East,Net internal migration,-3418
Melbourne - South East,Net overseas migration,9475
Melbourne - Inner East,Natural increase,2140
Melbourne - Inner East,Net internal migration,-3134
Melbourne - Inner East,Net overseas migration,6210
Mornington Peninsula,Natural increase,-220
Mornington Peninsula,Net internal migration,143
Mornington Peninsula,Net overseas migration,1040